All forcings simulations,Natural forcings only,Observed,,
58.96,47.36,38.15,,
35.69,55.06,,,
62.76,50.48,,,
45.65,46.53,,,
47.83,56.62,,,
56.64,51.23,,,
59.67,56.92,,,
42.01,52.34,,,
55.69,55.68,,,
45.01,60.19,,,
61.54,58.68,,,
47.68,50.66,,,
69.19,50.16,,,
47.88,59.76,,,
46.94,51.96,,,
45.56,48.25,,,
65.64,71.24,,,
46.62,57.36,,,
60.5,53.4,,,
50.03,53.02,,,
62.31,69.99,,,
48.69,57.84,,,
45.82,59.36,,,
39.43,67.53,,,
68.4,59.19,,,
41.08,52.14,,,
42.54,51.25,,,
36.84,71.31,,,
48.13,61.79,,,
67.26,62.27,,,
56.54,54.59,,,
66.84,63.65,,,
50.52,55.52,,,
48.14,42.18,,,
50.16,61.88,,,
71.87,63.26,,,
48.14,58.35,,,
62.78,72.93,,,
48.86,41.34,,,
64.35,50.88,,,
51.03,61.05,,,
39.11,76.33,,,
52.37,46.75,,,
56.7,61.99,,,
53.87,60.16,,,
46.54,45.56,,,
67.53,45.25,,,
48.55,51.9,,,
45.38,60.15,,,
54.91,48.87,,,
50.2,63.04,,,
55.75,44.51,,,
48.24,49.39,,,
57.54,62.25,,,
43.34,49.89,,,
52.36,68,,,
50.75,46,,,
57.55,51.82,,,
60.76,51.93,,,
57.21,49.11,,,
53.03,85.75,,,
50.07,57.01,,,
51.2,44.57,,,
71.97,55.01,,,
55.53,54.85,,,
52.46,62.17,,,
36.92,59.78,,,
48.12,76.45,,,
41.62,68.65,,,
50.84,47.44,,,
60.62,56.4,,,
62.78,59.25,,,
60.28,51.27,,,
47.77,50.79,,,
47.35,45.36,,,
45.43,54.73,,,
67.43,57.33,,,
61.05,71.33,,,
61.47,47.81,,,
49.5,55.53,,,
66.63,62.65,,,
56.73,81.58,,,
54.42,62.56,,,
55.87,60.4,,,
59.4,61.17,,,
47.81,48.28,,,
35.24,75.64,,,
50.3,62.72,,,
57.09,39.76,,,
43.98,55.65,,,
48.79,65.06,,,
74.53,56.89,,,
42.12,64.06,,,
53.88,50.78,,,
61.92,58.72,,,
80.87,47.94,,,
74.99,76.39,,,
65.15,67.46,,,
51.54,55.13,,,
50.65,75.93,,,
48.73,43.97,,,
60.39,48.33,,,
59.05,63.8,,,
49.24,54.45,,,
57.22,50.75,,,
50.91,52.61,,,
35.76,69.12,,,
48.97,48.09,,,
56.8,55.22,,,
52.98,59.87,,,
53.33,68.31,,,
50.7,57.39,,,
65.39,36.19,,,
51.13,57.59,,,
45.88,53.27,,,
76.89,61.57,,,
57.09,56.16,,,
41.19,44.26,,,
50.2,50.22,,,
49.8,66.68,,,
43.31,62.54,,,
50.94,55.92,,,
68.13,76.02,,,
60.39,74.87,,,
50.63,65,,,
52.53,70.67,,,
56.01,55.46,,,
52.75,54.44,,,
55.91,63.37,,,
54.23,71.18,,,
50.37,62.81,,,
55.04,63.03,,,
48.47,67.97,,,
45.02,59.54,,,
58.97,38.84,,,
56.31,44.15,,,
79.33,55.52,,,
65.79,54.78,,,
52.69,68.37,,,
44.91,65.58,,,
51.6,53.3,,,
54.07,65.43,,,
69.14,59.28,,,
45.1,47.3,,,
45.41,48.59,,,
65.67,77.23,,,
73.42,41.62,,,
60.85,66.8,,,
39.97,76.68,,,
55.8,55.14,,,
52.08,43.82,,,
54.67,62.62,,,
53.64,50.17,,,
47.65,47.94,,,
69.26,44.02,,,
37.6,39.73,,,
43.12,77.73,,,
41.96,57.54,,,
55.29,60.86,,,
49.82,67.42,,,
51.89,45.47,,,
58.58,57.5,,,
63.3,44.53,,,
62.83,53.2,,,
50.4,62.47,,,
46.08,66.48,,,
41.23,57.47,,,
56.2,54.93,,,
63.78,69.14,,,
51.28,34.15,,,
56.79,55.1,,,
52.2,51.38,,,
71.47,56.46,,,
56.14,55.06,,,
47.43,59.36,,,
65.56,53.12,,,
64.81,64.69,,,
57.07,33.4,,,
65.04,43.3,,,
37.23,46.01,,,
55.69,56.44,,,
55.94,71.99,,,
41.15,66.92,,,
36.01,59.07,,,
31.23,55.9,,,
45.63,62.05,,,
35.92,62.66,,,
55.59,48.82,,,
52.46,68.32,,,
43,57.77,,,
40.75,41.51,,,
47.89,59.32,,,
44.72,72.44,,,
63.36,64.58,,,
48.42,64.85,,,
46.97,61.42,,,
61.34,72.74,,,
43.52,48.41,,,
61.15,71.92,,,
69.93,82.84,,,
67.18,48.87,,,
58.69,59.19,,,
74.34,57.04,,,
58.93,34.11,,,
61.05,56.75,,,
45.94,72.92,,,
63.58,53.42,,,
45.26,62.24,,,
52.49,71.66,,,
58.56,46.19,,,
55.14,48.9,,,
62.33,47.91,,,
62.74,42.11,,,
38.79,55.31,,,
46.86,70.11,,,
57.29,61.1,,,
57.14,49.56,,,
39.88,34.39,,,
53.6,51.69,,,
49.89,53.45,,,
50.05,72.39,,,
53.31,71.03,,,
47.25,61.04,,,
53.53,54.62,,,
51.01,47.97,,,
61.68,55.18,,,
61.58,54.71,,,
50.52,54.36,,,
66.37,70.85,,,
49.85,49.8,,,
42.72,73.28,,,
57.29,50.04,,,
53.83,57.31,,,
65.39,57.7,,,
63.13,52.05,,,
66.02,41.84,,,
46.14,60.34,,,
49.58,66.08,,,
65.79,52.31,,,
35.74,54.53,,,
46.55,53.92,,,
48.94,74.46,,,
52.08,38.93,,,
58.07,65.66,,,
53.77,74.38,,,
59.17,66.32,,,
58.39,62.41,,,
41.99,44.25,,,
40.9,54.44,,,
46.77,50.15,,,
57.67,69.89,,,
45.83,41.67,,,
52.97,44.72,,,
45.9,50.23,,,
47.19,63.12,,,
48.21,63.4,,,
50.56,60.86,,,
47.51,54.63,,,
54.23,60.18,,,
59.63,65.66,,,
51.84,48.64,,,
61.87,57.43,,,
50.77,60.78,,,
53.31,58.27,,,
65.09,70.94,,,
46.31,65.86,,,
48.26,68.05,,,
57.34,60.25,,,
43.53,48.68,,,
64.39,53.52,,,
44.34,59.01,,,
56.73,66.91,,,
55.01,58.93,,,
42.42,64.05,,,
37.75,68.78,,,
56.73,66.37,,,
58.81,61.78,,,
72.42,51.82,,,
51.52,60.93,,,
62.39,45.05,,,
58.42,56.5,,,
42.94,78.76,,,
37.3,47.72,,,
58.81,63.99,,,
54.3,50.65,,,
40.42,57.44,,,
64.19,68.29,,,
57.47,56.63,,,
35.74,66.93,,,
38.92,52.78,,,
43.23,48.67,,,
73.13,52.56,,,
58.61,72.62,,,
60.37,50.79,,,
57.18,50.39,,,
58.34,50.13,,,
56.95,63.58,,,
33.31,47.67,,,
47.25,67.61,,,
44.61,56.84,,,
66.59,63.74,,,
60.02,61.57,,,
48.73,48.69,,,
54.9,64.67,,,
47.27,60.27,,,
46.75,58.65,,,
61.81,54.24,,,
56.27,66.77,,,
68.57,60.38,,,
48.93,55.09,,,
57.73,57.07,,,
73.94,69.26,,,
53.17,49.12,,,
40.45,58.37,,,
74.82,58.78,,,
55.43,61.82,,,
45.39,60.23,,,
51.84,57.64,,,
55.58,59.57,,,
32.02,52.31,,,
44.89,41.71,,,
33.48,64.63,,,
64.55,63.87,,,
42.47,68.77,,,
50.93,52.11,,,
46.92,61.7,,,
50.77,47.17,,,
48.82,51.84,,,
51.34,55.5,,,
49.71,60.16,,,
57.7,49.12,,,
45.52,64.17,,,
62.63,49.09,,,
46.27,40.84,,,
48.55,72.24,,,
79.98,55.01,,,
50.09,64.99,,,
64.3,45.92,,,
49.53,50.15,,,
59.98,32.2,,,
53.2,53.43,,,
56.9,71.63,,,
58.87,68.08,,,
45.48,71.96,,,
43.66,52,,,
47.24,53.66,,,
46.86,63.72,,,
41.61,62.82,,,
40.24,63.3,,,
53.62,80.76,,,
45.06,35.78,,,
36.11,56.55,,,
53.66,58.94,,,
51.17,64.97,,,
55.52,50.63,,,
46,76.08,,,
40.64,60.17,,,
37.64,55.4,,,
61.98,52.44,,,
47.81,53.79,,,
65.72,61.6,,,
41.13,41.75,,,
55.73,39.6,,,
66.54,49.17,,,
68.44,62.81,,,
43.19,52.23,,,
32.5,52.35,,,
49.24,72.35,,,
57.91,56.65,,,
64.07,50.03,,,
62.67,56.06,,,
56.88,70.19,,,
57.12,61.14,,,
64.01,73.02,,,
50.18,72.83,,,
64.25,60.37,,,
59.06,43.94,,,
52.56,76.91,,,
57.9,55.71,,,
42.75,64.92,,,
43.43,60.64,,,
38.8,58.7,,,
58.16,54.34,,,
49.59,60.42,,,
68.69,74.27,,,
53.51,66.46,,,
51.06,52.05,,,
55.98,47.53,,,
60.3,64.88,,,
48.68,55.6,,,
42.57,56.07,,,
59.22,48.02,,,
40.63,47.67,,,
70.34,74.78,,,
64.26,47.23,,,
44.57,49.76,,,
51.55,53.61,,,
40.54,41.2,,,
52.97,55.92,,,
60.54,62.59,,,
55.02,41.37,,,
53.76,46.19,,,
51.97,56.16,,,
55.46,47.69,,,
60.58,49.72,,,
36.89,67.73,,,
56.43,66.15,,,
56.01,52.83,,,
51.9,57.52,,,
41.23,49.77,,,
51.75,63.62,,,
61.1,68.31,,,
68.63,68.79,,,
68.49,80.86,,,
48.57,45.04,,,
56.73,50.75,,,
53.21,54.07,,,
48.7,63.02,,,
45.77,56.89,,,
57.62,44.84,,,
54.36,66.73,,,
51.62,55.09,,,
49.77,51.01,,,
74.37,63.68,,,
58.49,53.74,,,
55.71,58.24,,,
56.29,38.64,,,
53.42,56.28,,,
54.23,51.37,,,
35.49,69.57,,,
58.99,65.86,,,
52.99,55.95,,,
49.9,54.68,,,
32.23,58.54,,,
54.38,55.22,,,
58.65,54.81,,,
64.61,46.05,,,
41.2,52.19,,,
61.06,72.67,,,
65.38,58.33,,,
56.8,64.6,,,
55,55.81,,,
48.62,48.98,,,
47.81,39.98,,,
58.6,66.59,,,
42.28,63.89,,,
76.51,48.11,,,
71.06,58.19,,,
42.1,76.36,,,
52.45,73.24,,,
56.94,52.58,,,
54.63,55.29,,,
56.75,60.05,,,
59.26,57.86,,,
36.07,69.72,,,
53.43,61.59,,,
53.16,59.27,,,
68.71,59.17,,,
42.35,48.58,,,
62.42,66.16,,,
61.75,70.03,,,
52.48,59.26,,,
39.82,57.43,,,
36.13,70.47,,,
54.4,56.46,,,
48.31,54.83,,,
61.64,61.94,,,
68.11,45.14,,,
43.96,52.01,,,
58.97,52.08,,,
48.19,57.88,,,
73.8,63.3,,,
40.82,66.19,,,
45.93,71.46,,,
52.98,68.57,,,
45.27,63.5,,,
55.88,43.3,,,
54.86,53.66,,,
58.46,69.44,,,
42.46,52.33,,,
49.93,55.54,,,
50.66,49.28,,,
65.71,57.01,,,
41.16,64.59,,,
44.44,49.72,,,
62.1,57.04,,,
45.16,64.77,,,
54.53,52.99,,,
47.28,57.11,,,
41.02,55.98,,,
44.89,55.55,,,
63.01,66.51,,,
55.91,53.8,,,
46.95,50.54,,,
43.69,39.97,,,
54.12,45.21,,,
58.33,66.5,,,
51.15,50.86,,,
65.32,58.91,,,
55.35,55.41,,,
42.61,64.01,,,
69.02,57.54,,,
36.11,58.26,,,
63.5,61.68,,,
60.29,46.94,,,
58.99,43.64,,,
64.72,59.39,,,
50.41,38.67,,,
47.67,54.2,,,
50.24,65.59,,,
50.48,49.51,,,
43.06,54.42,,,
61.05,50.33,,,
51.03,53.34,,,
36.56,52.52,,,
53.81,54.89,,,
55.75,56.7,,,
59.08,36.71,,,
63.32,61.29,,,
42.85,65.83,,,
47.84,70.47,,,
69.27,53.74,,,
47.85,49.63,,,
54.85,52.01,,,
41.07,74.91,,,
